Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
1,102A16217,外筒組,102A16217 -05,,0,Z0102,1.02,0
1,102A16281,外筒組,102A16281 -01,,0,Z0102,1.02,0
1,102A16281A,外筒組,102A16281A -01,,0,Z0102,1.02,0
1,102A16281C,外筒組,102A16281C -01,,0,Z0102,1.02,0
1,102A16292,外筒組,102A16292 -01,,0,Z0102,1.02,0
1,102A16292A,外筒組,102A16292A -01,,0,Z0102,1.02,0
1,102A16329,外筒組,102A16329 -00,,0,Z0102,1.02,0
1,102A16349,外筒組,102A16349 -00,,0,Z0102,0.66,0
1,102A16379,外筒組,102A16379 -00,,0,Z0102,0,0
1,102A16379A,外筒組,102A16379A -00,,0,Z0102,0,0
1,102A16646,外筒組,102A16646 -00,,0,Z0102,1.02,0
1,102A16659,外筒組,102A16659 -00,,0,80100,,
1,102B00162Y,炎筒カバー,102B00162Y -02,,0,Z0420,0,0
1,102B00611V,バーナヘッドリング,102B00611V -00,,0,Z0040,0.14,0
1,102B00618,外筒底板,102B00618 -00,,0,Z0102,0.06,0
1,102B00623,外筒底板,102B00623 -00,,4115,Z0110,0.06,0
1,102B00791,外筒底板,102B00791 -02,,549,Z0102,0.06,0
1,102C00588,底板整流板,102C00588 -00,,0,Z0520,0.3,0
1,102C00658,炎筒カバー,102C00658 -00,,0,80100,,
1,102C00658Y,炎筒カバー,102C00658Y -04,,0,Z0102,0.09,0
1,102C00703V,底板整流板,102C00703V -00,,0,Z0420,0.14,0
1,102C00720,底板整流板,102C00720 -00,,0,80100,,
1,102C00856,炎筒,102C00856 -01,,0,Z0102,0,0
1,102C00920,操作部支持金具,102C00920 -00,,2260,Z0102,0,0
1,102C00922,外筒本体,102C00922 -01,,995,Z0520,0.07,0
1,102C00960,炎筒後板,102C00960 -00,,0,Z0520,0.07,0
1,102C01078,炎筒,102C01078 -00,,0,Z0040,0,0
1,102C01111,炎筒カバー,102C01111 -01,,0,Z0040,0,0
1,102C01197,炎筒,102C01297 -00,,0,Z0520,0.05,0
1,102C01297,炎筒,102C01297 -00,,0,Z0510,0.04,0
